,tweetID,OriginalTweetID,OrigLoc,OrigScrNm,RetweetCt
23400,3307877008,2458907334,Finchley,KhanUKIP,1003.0
964,21810329,3326733263,France,dstrausskahn,761.0
1054,2520237692,2364495792,,StockHighAlert,664.0
15462,373035299,403647191,UK,Ian56789,560.0
13186,2996524397,3326733263,France,dstrausskahn,498.0
14986,1052934420,755252174,Brussels,BirdLifeEurope,356.0
25468,32468117,73760208,Berlin/Bxl/Lndn/Paris/Oslo/NYC,SonyKapoor,335.0
12828,43987544,3233835926,Antigua and Barbuda,jodigraphics15,322.0
18274,510783391,306932184,Barcelona,15MBcn_int,303.0
26586,369987966,410070653,"Brussels, Belgium",SpiegelPeter,300.0
1986,103968207,3326733263,France,dstrausskahn,288.0
2864,3243616719,22657914,London UK,patcondell,286.0
26708,2155001304,35760904,Shrewsbury & London,SuzanneEvans1,258.0
25200,912762500,512790682,Loughborough,TheoStylianides,251.0
2848,3018422494,3271037696,,hrseo2015,221.0
14822,582076945,19287037,Europe,TheProgressives,206.0
7778,339639180,610659001,Oxford,MaxCRoser,190.0
17762,47025294,22657914,London UK,patcondell,188.0
3324,252804421,2582427774,,NewsCoverUp,183.0
490,3346642625,2911742766,,Werteverwalter,183.0
26488,2212478964,45086371,"Earth,MilkyWay,VirgoCluster",menacius,172.0
9062,314707172,35760904,Shrewsbury & London,SuzanneEvans1,170.0
25974,1071670088,45086371,"Earth,MilkyWay,VirgoCluster",menacius,170.0
20596,159285637,247176719,10km from amsterdam,paulrikmans,163.0
20856,916751322,48987943,"Dublin, Ireland ",MarcasPadraig,156.0
9228,2344694171,143001237,Buggenhout (Flanders),StevenCreyelman,147.0
25876,3263446373,35760904,Shrewsbury & London,SuzanneEvans1,140.0
10280,1439195672,410070653,"Brussels, Belgium",SpiegelPeter,138.0
6556,2414871902,2315411725,"Europe, Earth, Solar System",BungeeWedgie,133.0
11588,2852652593,410070653,"Brussels, Belgium",SpiegelPeter,131.0
22198,483260824,77528520,Athens · Berlin · Brussels,YanniKouts,129.0
3054,86830095,1073802444,"Tehran, Iran, Paris, France",iran_policy,128.0
24462,2179008832,518615888,London and Dublin,RonanLTynan,126.0
7048,1656545580,220671535,London,BetterOffOut,125.0
10020,744702390,307084646,London,Eva_Cosse,122.0
7356,299713309,162427574,"Brussels, Europe",StollmeyerEU,120.0
25852,128541148,49157283,Southern California,buell003,116.0
2340,2508971117,555370896,England,RedHotSquirrel,114.0
62,36355186,5120691,"Geneva, Switzerland",wef,113.0
3812,3018422494,3271037696,,hrseo2015,112.0
14618,1276006147,18213483,Global,AmnestyOnline,112.0
1856,197370355,3271037696,,hrseo2015,111.0
2460,363199891,5120691,"Geneva, Switzerland",wef,108.0
7024,2564482480,2269619268,Greater NYC,DavidRomeiPHD,105.0
1182,2365305244,22972870,"New Orleans, Dallas",BlanchardGold,105.0
17426,2970400353,518615888,London and Dublin,RonanLTynan,103.0
14868,19014535,410070653,"Brussels, Belgium",SpiegelPeter,100.0
12086,2982700757,344778430,"London, UK",PlanetPonzi,99.0
18360,187688769,1056632712,"New Jersey, USA",VictoriaSC91,98.0
22666,570917819,32429400,"Brussels, global",PoliticoRyan,97.0
9916,24488120,307084646,London,Eva_Cosse,93.0
17272,2900803095,19060580,Athen ,DEmmerich,91.0
11324,501120509,157981564,"Brussels, Belgium",EU_Commission,89.0
11110,2306582551,80803819,HQ: Brussels,eu_eeas,87.0
14460,714695354,2831262553,,Greg_5mith,86.0
1108,463406177,327326028,,sandukankanack,85.0
21712,400070495,140500047,"Huddersfield, England ",tom9182,84.0
13240,3133669557,2372268296,"well, it is obvious - Internet",P1R5V8rH,84.0
17420,150386208,555370896,England,RedHotSquirrel,81.0
3818,142744710,80802900,Brighton,CarolineLucas,80.0
7228,16350120,16305558,,EmmaDaly,80.0
11644,844298942,555370896,England,RedHotSquirrel,76.0
1022,1900810460,358204197,United Kingdom,UKIP,76.0
8642,756675312,2613612890,European Union,eci_ttip,75.0
7234,732727645,35760904,Shrewsbury & London,SuzanneEvans1,75.0
12256,96977991,518991950,"London, UK",ShoebridgeC,71.0
13698,2337010632,77528520,Athens · Berlin · Brussels,YanniKouts,71.0
4478,1899486349,820190174,Brussels ,MargSchinas,70.0
25484,203325246,95148130,Brussels,BBCChrisMorris,70.0
17716,2970400353,518615888,London and Dublin,RonanLTynan,70.0
4314,939710432,77528520,Athens · Berlin · Brussels,YanniKouts,70.0
26660,2395373148,81867344,"Washington, DC",hmylonas,69.0
24838,252402252,3263446373,"South East, UK",Rich_A_S,68.0
5330,20822796,22759754,,SJLambrinidis,67.0
17266,3009706660,190670597,"Lyon, France",lyonanglais,67.0
17912,18446493,518615888,London and Dublin,RonanLTynan,65.0
14148,376920145,307084646,London,Eva_Cosse,64.0
2506,373157754,3163284887,Mediterranean Sea,MSF_Sea,64.0
1562,722127506,52268679,United Kingdom,TheDailyBMUK,63.0
22410,181318845,518615888,London and Dublin,RonanLTynan,63.0
19558,34236869,1467314040,The Netherlands,EN_media,63.0
19366,2270146225,555370896,England,RedHotSquirrel,61.0
7832,16120863,80803819,HQ: Brussels,eu_eeas,61.0
24322,575252168,17543967,,mindstripper,60.0
10976,1970996414,1873534105,,ZlatkoStipic,58.0
456,372296470,518615888,London and Dublin,RonanLTynan,58.0
7856,1207686336,473914976,,EspenBarthEide,58.0
12952,1010994384,2758205312,London,DanhawkinsDh,58.0
7734,16120863,157981564,"Brussels, Belgium",EU_Commission,58.0
7750,1511491182,77528520,Athens · Berlin · Brussels,YanniKouts,57.0
7556,425624046,71858239,"Longford, Ireland",Disildoforus,56.0
26924,65638864,9568772,Milano,g_bertoncello,56.0
358,18564887,238575113,Australia,Kon__K,56.0
6754,2683813976,73760208,Berlin/Bxl/Lndn/Paris/Oslo/NYC,SonyKapoor,56.0
9398,157981564,28114871,"Brussels, Belgium",ecfin,55.0
11878,204040320,179449138,Tehran,abasinfo,55.0
3656,3248881547,103822311,London,BNE_Group,55.0
422,220580561,1880640066,,TGSNTtv,54.0
12446,137041926,410070653,"Brussels, Belgium",SpiegelPeter,54.0
10606,706595600,226541132,"Vilnius, Lithuania",LithuaniaMFA,54.0
14632,534068845,356450858,"Србија, Београд",avucic,54.0
648,41625149,306932184,Barcelona,15MBcn_int,53.0
13330,2603267395,518615888,London and Dublin,RonanLTynan,52.0
22478,303661335,17131762,Hamburg/Brussels,JanAlbrecht,51.0
16046,286361635,73760208,Berlin/Bxl/Lndn/Paris/Oslo/NYC,SonyKapoor,51.0
9670,3334810876,77528520,Athens · Berlin · Brussels,YanniKouts,51.0
24632,1946971338,381214787,"Toronto, Ontario",gbazov,50.0
11576,627862316,1586266080,"Brussels, Belgium",CorinaCretuEU,50.0
25740,166001916,85738930,,Starseed52,50.0
3630,2583521641,611585332,London UK and beyond.,Bonn1eGreer,50.0
8256,1523304198,81838067,Brussels and Strasbourg,ecrgroup,48.0
13976,59393368,410070653,"Brussels, Belgium",SpiegelPeter,47.0
14336,534068845,356450858,"Србија, Београд",avucic,47.0
13868,3338954842,285502685,Zürich,marcelsardo,47.0
24284,1273247052,285502685,Zürich,marcelsardo,46.0
11498,398313951,410070653,"Brussels, Belgium",SpiegelPeter,46.0
17172,272840338,555370896,England,RedHotSquirrel,46.0
13674,2796136387,1570047816,,AverofCY,46.0
9650,2267313560,1920396234,,Jay_Janzen,45.0
25558,531598198,2468828556,,AndreyPanevin,45.0
