,tweetID,OriginalTweetID,OrigLoc,OrigScrNm,RetweetCt
23400,3307877008,2458907334,Finchley,KhanUKIP,1003.0
23632,3307663347,2458907334,Finchley,KhanUKIP,1003.0
23244,3307976843,2458907334,Finchley,KhanUKIP,1003.0
23046,3308230119,2458907334,Finchley,KhanUKIP,1003.0
23646,3307480833,2458907334,Finchley,KhanUKIP,1003.0
22778,3308749163,2458907334,Finchley,KhanUKIP,1003.0
21882,3309433036,2458907334,Finchley,KhanUKIP,1003.0
23642,3307694164,2458907334,Finchley,KhanUKIP,1003.0
21890,3314943100,2458907334,Finchley,KhanUKIP,1003.0
21298,3063499222,2458907334,Finchley,KhanUKIP,1003.0
22780,3150230866,2458907334,Finchley,KhanUKIP,1003.0
21904,3309326897,2458907334,Finchley,KhanUKIP,1003.0
21282,3309878697,2458907334,Finchley,KhanUKIP,1003.0
23242,3308084273,2458907334,Finchley,KhanUKIP,1003.0
21906,3310362880,2458907334,Finchley,KhanUKIP,1003.0
23630,3307625027,2458907334,Finchley,KhanUKIP,1003.0
23290,3307874685,2458907334,Finchley,KhanUKIP,1003.0
23294,3295022901,2458907334,Finchley,KhanUKIP,1003.0
21276,3309159191,2458907334,Finchley,KhanUKIP,1003.0
21272,3309877935,2458907334,Finchley,KhanUKIP,1003.0
21270,3307709621,2458907334,Finchley,KhanUKIP,1003.0
21912,3309114557,2458907334,Finchley,KhanUKIP,1003.0
21266,3309851933,2458907334,Finchley,KhanUKIP,1003.0
21262,3089917795,2458907334,Finchley,KhanUKIP,1003.0
24078,3124404887,2458907334,Finchley,KhanUKIP,1003.0
24072,3305907323,2458907334,Finchley,KhanUKIP,1003.0
21240,3309581175,2458907334,Finchley,KhanUKIP,1003.0
22772,3308717291,2458907334,Finchley,KhanUKIP,1003.0
24028,3305958352,2458907334,Finchley,KhanUKIP,1003.0
22760,3298292945,2458907334,Finchley,KhanUKIP,1003.0
22766,3020935133,2458907334,Finchley,KhanUKIP,1003.0
21384,3244811584,2458907334,Finchley,KhanUKIP,1003.0
23230,3242658904,2458907334,Finchley,KhanUKIP,1003.0
24040,3305907785,2458907334,Finchley,KhanUKIP,1003.0
24044,3297536644,2458907334,Finchley,KhanUKIP,1003.0
24050,3297292575,2458907334,Finchley,KhanUKIP,1003.0
23692,3306849105,2458907334,Finchley,KhanUKIP,1003.0
23234,3308144404,2458907334,Finchley,KhanUKIP,1003.0
24056,3305866221,2458907334,Finchley,KhanUKIP,1003.0
21320,3309668733,2458907334,Finchley,KhanUKIP,1003.0
24058,3297850961,2458907334,Finchley,KhanUKIP,1003.0
21366,3309349791,2458907334,Finchley,KhanUKIP,1003.0
21856,3309126484,2458907334,Finchley,KhanUKIP,1003.0
21342,3309783555,2458907334,Finchley,KhanUKIP,1003.0
21860,3309377368,2458907334,Finchley,KhanUKIP,1003.0
21336,3309824745,2458907334,Finchley,KhanUKIP,1003.0
24070,3305863479,2458907334,Finchley,KhanUKIP,1003.0
23236,3307969973,2458907334,Finchley,KhanUKIP,1003.0
23240,3341026413,2458907334,Finchley,KhanUKIP,1003.0
21864,3309241725,2458907334,Finchley,KhanUKIP,1003.0
21242,3309954568,2458907334,Finchley,KhanUKIP,1003.0
21234,3313312565,2458907334,Finchley,KhanUKIP,1003.0
24688,3270532923,2458907334,Finchley,KhanUKIP,1003.0
21990,3309240789,2458907334,Finchley,KhanUKIP,1003.0
22848,2995873941,2458907334,Finchley,KhanUKIP,1003.0
21090,3148577751,2458907334,Finchley,KhanUKIP,1003.0
21072,3309147568,2458907334,Finchley,KhanUKIP,1003.0
23584,3077897817,2458907334,Finchley,KhanUKIP,1003.0
21068,3310202675,2458907334,Finchley,KhanUKIP,1003.0
24132,3297466515,2458907334,Finchley,KhanUKIP,1003.0
23038,3308334431,2458907334,Finchley,KhanUKIP,1003.0
24712,3289848989,2458907334,Finchley,KhanUKIP,1003.0
19126,3627001,2458907334,Finchley,KhanUKIP,1003.0
21986,3309332002,2458907334,Finchley,KhanUKIP,1003.0
22000,3083882816,2458907334,Finchley,KhanUKIP,1003.0
21116,3309877672,2458907334,Finchley,KhanUKIP,1003.0
22020,3309238787,2458907334,Finchley,KhanUKIP,1003.0
22032,3146566732,2458907334,Finchley,KhanUKIP,1003.0
23582,3307737695,2458907334,Finchley,KhanUKIP,1003.0
21042,3310166637,2458907334,Finchley,KhanUKIP,1003.0
24138,3297386237,2458907334,Finchley,KhanUKIP,1003.0
22336,3298165533,2458907334,Finchley,KhanUKIP,1003.0
23028,3308093547,2458907334,Finchley,KhanUKIP,1003.0
16370,3230224767,2458907334,Finchley,KhanUKIP,1003.0
23574,3188435757,2458907334,Finchley,KhanUKIP,1003.0
22040,3309284692,2458907334,Finchley,KhanUKIP,1003.0
22836,3308586039,2458907334,Finchley,KhanUKIP,1003.0
21960,3310747979,2458907334,Finchley,KhanUKIP,1003.0
21914,3309324551,2458907334,Finchley,KhanUKIP,1003.0
22806,2880200797,2458907334,Finchley,KhanUKIP,1003.0
22352,3308992263,2458907334,Finchley,KhanUKIP,1003.0
24090,3305906183,2458907334,Finchley,KhanUKIP,1003.0
21230,3309880017,2458907334,Finchley,KhanUKIP,1003.0
23306,3307888257,2458907334,Finchley,KhanUKIP,1003.0
21928,3309217853,2458907334,Finchley,KhanUKIP,1003.0
21930,3309239697,2458907334,Finchley,KhanUKIP,1003.0
22792,3308634653,2458907334,Finchley,KhanUKIP,1003.0
21210,3309834815,2458907334,Finchley,KhanUKIP,1003.0
21938,3309236386,2458907334,Finchley,KhanUKIP,1003.0
22802,3154894253,2458907334,Finchley,KhanUKIP,1003.0
21192,3309985295,2458907334,Finchley,KhanUKIP,1003.0
21118,3148073403,2458907334,Finchley,KhanUKIP,1003.0
22812,3308713150,2458907334,Finchley,KhanUKIP,1003.0
21954,3309230151,2458907334,Finchley,KhanUKIP,1003.0
24764,3286744048,2458907334,Finchley,KhanUKIP,1003.0
24758,3267666471,2458907334,Finchley,KhanUKIP,1003.0
24748,3218675592,2458907334,Finchley,KhanUKIP,1003.0
21956,3309229317,2458907334,Finchley,KhanUKIP,1003.0
22834,3194701947,2458907334,Finchley,KhanUKIP,1003.0
24742,3218732515,2458907334,Finchley,KhanUKIP,1003.0
24736,3215887886,2458907334,Finchley,KhanUKIP,1003.0
22346,3309092680,2458907334,Finchley,KhanUKIP,1003.0
21392,3309697540,2458907334,Finchley,KhanUKIP,1003.0
23224,3316928116,2458907334,Finchley,KhanUKIP,1003.0
23222,3308062761,2458907334,Finchley,KhanUKIP,1003.0
22582,3308785499,2458907334,Finchley,KhanUKIP,1003.0
23766,3307579162,2458907334,Finchley,KhanUKIP,1003.0
22650,3308882813,2458907334,Finchley,KhanUKIP,1003.0
21584,3309525827,2458907334,Finchley,KhanUKIP,1003.0
21582,3251276321,2458907334,Finchley,KhanUKIP,1003.0
21674,3309495748,2458907334,Finchley,KhanUKIP,1003.0
21676,3309340864,2458907334,Finchley,KhanUKIP,1003.0
21678,3309463985,2458907334,Finchley,KhanUKIP,1003.0
22654,3308899936,2458907334,Finchley,KhanUKIP,1003.0
23896,3306803883,2458907334,Finchley,KhanUKIP,1003.0
22584,3308963656,2458907334,Finchley,KhanUKIP,1003.0
22664,3308844094,2458907334,Finchley,KhanUKIP,1003.0
23846,3307464599,2458907334,Finchley,KhanUKIP,1003.0
22674,3308892916,2458907334,Finchley,KhanUKIP,1003.0
22580,3148665770,2458907334,Finchley,KhanUKIP,1003.0
23106,3308109947,2458907334,Finchley,KhanUKIP,1003.0
23914,3310418831,2458907334,Finchley,KhanUKIP,1003.0
22680,3246603412,2458907334,Finchley,KhanUKIP,1003.0
23102,3311078614,2458907334,Finchley,KhanUKIP,1003.0
23920,3226201011,2458907334,Finchley,KhanUKIP,1003.0
21732,3307851977,2458907334,Finchley,KhanUKIP,1003.0
21734,3309522801,2458907334,Finchley,KhanUKIP,1003.0
21736,3310216239,2458907334,Finchley,KhanUKIP,1003.0
23132,3043679257,2458907334,Finchley,KhanUKIP,1003.0
22632,3308855015,2458907334,Finchley,KhanUKIP,1003.0
23220,3308064249,2458907334,Finchley,KhanUKIP,1003.0
21612,3308841947,2458907334,Finchley,KhanUKIP,1003.0
21644,3309580078,2458907334,Finchley,KhanUKIP,1003.0
23776,2988685445,2458907334,Finchley,KhanUKIP,1003.0
22600,3308844723,2458907334,Finchley,KhanUKIP,1003.0
21636,3309464873,2458907334,Finchley,KhanUKIP,1003.0
21628,3309538420,2458907334,Finchley,KhanUKIP,1003.0
23782,3307489121,2458907334,Finchley,KhanUKIP,1003.0
22604,3308715531,2458907334,Finchley,KhanUKIP,1003.0
23790,3308717439,2458907334,Finchley,KhanUKIP,1003.0
21662,3309445751,2458907334,Finchley,KhanUKIP,1003.0
21664,3309427799,2458907334,Finchley,KhanUKIP,1003.0
